Clarity-Upscaler,Not Found,Not Found,Not Found,"--upscale_factor, --creativity, --clarity",,,,,Upscales images with high fidelity to the original image. This bot supports .jpg and .png images.
DALL-E-3,OpenAI,Not Found,Not Found,--aspect,,,,,OpenAI's most powerful image generation model. Generates high quality images with intricate details based on the user's most recent prompt.
Dreamina-3.1,ByteDance,Not Found,Not Found,--aspect,,,,,"ByteDance's Dreamina 3.1 Text-to-Image showcases superior picture effects, with significant improvements in picture aesthetics, precise and diverse styles, and rich details."
Flux-1-Dev-FW,Black Forest Labs,Not Found,Not Found,None,,,,,"FLUX.1 [dev] is a 12 billion parameter rectified flow transformer capable of generating images from text descriptions. Key Features 1. Cutting-edge output quality, second only to our state-of-the-art model FLUX.1 [pro]. 2. Competitive prompt following, matching the performance of closed source alternatives. 3. Trained using guidance distillation, making FLUX.1 [dev] more efficient. 4. Open weights to drive new scientific research, and empower artists to develop innovative workflows. 5. Generated outputs can be used for personal, scientific, and commercial purposes as described in the FLUX.1 [dev] Non-Commercial License."
Flux-1-Schnell-FW,Black Forest Labs,Not Found,Not Found,None,,,,,"FLUX.1 [schnell] is a 12 billion parameter rectified flow transformer capable of generating images from text descriptions. Key Features 1. Cutting-edge output quality and competitive prompt following, matching the performance of closed source alternatives. 2. Trained using latent adversarial diffusion distillation, FLUX.1 [schnell] can generate high-quality images in only 1 to 4 steps. 3. Released under the apache-2.0 licence, the model can be used for personal, scientific, and commercial purposes."
FLUX-dev,Black Forest Labs,Not Found,Not Found,--aspect,,,,,"High-performance image generation with top of the line prompt following, visual quality, image detail and output diversity. This is a more efficient version of FLUX-pro, balancing quality and speed. Send an image to have this model reimagine/regenerate it via FLUX Redux."
FLUX-dev-DI,Black Forest Labs,Not Found,Not Found,"--width, --height, --seed, --num_inference_steps",,,,,"High quality image generator using FLUX dev model. Top of the line prompt following, visual quality and output diversity. This model is a text to image generation only and does not accept attachments."
FLUX-dev-finetuner,Black Forest Labs,Not Found,Not Found,None,,,,,"Fine-tune the FLUX dev model with your own pictures! Upload 8-12 of them (same subject, only one subject in the picture, ideally from different poses and backgrounds) and wait ~2-5 minutes to create your own finetuned bot that will generate pictures of this subject in whatever setting you want."
Flux-Kontext-Max,Black Forest Labs,Not Found,Not Found,--aspect,,,,,"FLUX.1 Kontext [max] is a new premium model from Black Forest Labs that brings maximum performance across all aspects. Send a prompt to generate an image, or send an image along with an instruction to edit the image."
Flux-Kontext-Pro,Black Forest Labs,Not Found,Not Found,--aspect,,,,,"The FLUX.1 Kontext [pro] model delivers state-of-the-art image generation results with unprecedented prompt following, photorealistic rendering, flawless typography, and image editing capabilities."
FLUX-Krea,Black Forest Labs,Not Found,Not Found,--aspect,,,,,FLUX-Krea is a version of FLUX Dev tuned for superior aesthetics. Send an image to have this model reimagine/regenerate it via FLUX Krea Redux.
FLUX-pro,Black Forest Labs,Not Found,Not Found,--aspect,,,,,"State-of-the-art image generation with top of the line prompt following, visual quality, image detail and output diversity. This is the most powerful version of FLUX.1. Send an image to have this model reimagine/regenerate it via FLUX Redux."
FLUX-pro-1.1,Black Forest Labs,Not Found,Not Found,--aspect,,,,,"State-of-the-art image generation with top-of-the-line prompt following, visual quality, image detail and output diversity. This is the most powerful version of FLUX 1.1. Send an image to have this model reimagine/regenerate it via FLUX Redux."
FLUX-pro-1.1-ultra,Black Forest Labs,2000 points,Not Found,"--aspect, --raw, --strength",,,,,State-of-the-art image generation with four times the resolution of standard FLUX-1.1-pro. Best-in-class prompt adherence and pixel-perfect image detail. Send an image to have this model reimagine/regenerate it via FLUX Redux
FLUX-schnell,Black Forest Labs,Not Found,Not Found,--aspect,,,,,"Turbo speed image generation with strengths in prompt following, visual quality, image detail and output diversity. This is the fastest version of FLUX.1. Send an image to have this model reimagine/regenerate it via FLUX Redux."
FLUX-schnell-DI,Black Forest Labs,Not Found,Not Found,"--width, --height, --seed, --num_inference_steps",,,,,"This is the fastest version of FLUX, featuring highly optimized abstract models that excel at creative and unconventional renders."
Flux-Schnell-T,Black Forest Labs,Not Found,Not Found,None,,,,,Lightning-fast AI image generation model that excels in producing high-quality visuals in just seconds. Great for quick prototyping or real-time use cases. This is the fastest version of FLUX.1.
Gemini-2.0-Flash-Preview,Google,Not Found,Not Found,None,,,,,"Designed for creative conversations, offering built-in image generation and the ability to understand both visuals and text. It excels at editing images through natural conversations and can even interpret videos! However, it doesn’t provide web searches or access to real-time information."
Gemini-2.5-Flash-Image,Google,Not Found,32000,None,,,,,"Google DeepMind's Gemini 2.5 Flash model with image generation and editing capabilities, offering state-of-the-art performance in photo-realistic multi-turn edits at exceptional speeds."
GPT-Image-1,OpenAI,Not Found,Not Found,"--aspect, --quality, --use_mask",,,,,"OpenAI's model that powers image generation in ChatGPT, offering exceptional prompt adherence, level of detail, and quality. It supports editing, restyling, and combining images attached to the latest user query."
Hidream-I1-full,Hidream,Not Found,Not Found,"--aspect, --negative_prompt",,,,,Hidream-I1 is a state-of-the-art text to image model by Hidream. Hosted by fal.ai.
Ideogram,Ideogram,Not Found,Not Found,--aspect,,,,,"Excels at creating high-quality images from text prompts. For most prompts, https://poe.com/Ideogram-v2 will produce better results."
Ideogram-v2,Ideogram,Not Found,Not Found,"--aspect, --style",,,,,"Latest image model from Ideogram, with industry leading capabilities in generating realistic images, graphic design, typography, and more."
Ideogram-v2a,Ideogram,Not Found,Not Found,"--aspect, --style",,,,,"Fast, affordable text-to-image model, optimized for graphic design and photography."
Ideogram-v2a-Turbo,Ideogram,Not Found,Not Found,"--aspect, --style",,,,,"Fast, affordable text-to-image model, optimized for graphic design and photography."
Ideogram-v3,Ideogram,Not Found,Not Found,"--aspect, --style",,,,,"Generate high-quality images, posters, and logos with Ideogram V3. Features exceptional typography handling and realistic outputs optimized for commercial and creative use."
Imagen-3,Google,Not Found,Not Found,--aspect_ratio,,,,,"Google DeepMind's highest quality text-to-image model, capable of generating images with great detail, rich lighting, and few distracting artifacts."
